2026-09-04 20:33:44,920 | ERROR | MainThread | Modbus connect error: Connection failed
2026-09-04 20:33:49,921 | ERROR | MainThread | Modbus connect error: Connection failed
2026-09-04 20:33:54,922 | ERROR | MainThread | Modbus connect error: Connection failed
2026-09-04 20:33:59,923 | ERROR | MainThread | Modbus connect error: Connection failed
2026-09-04 20:34:04,923 | ERROR | MainThread | Modbus connect error: Connection failed
2026-09-04 20:34:09,925 | ERROR | MainThread | Modbus connect error: Connection failed
2026-09-04 20:34:14,926 | ERROR | MainThread | Modbus connect error: Connection failed
2026-09-04 20:34:19,927 | ERROR | MainThread | Modbus connect error: Connection failed
2026-09-04 20:36:59,646 | INFO | MainThread | Starting Edge Node
2026-09-04 20:36:59,647 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:36:59,647 | INFO | MainThread | Connecting MQTT...
2026-09-04 20:36:59,888 | INFO | MainThread | MQTT connected
2026-09-04 20:36:59,894 | INFO | ConfigWatcher | Reloading config...
2026-09-04 20:37:04,648 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:37:09,649 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:37:14,650 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:37:19,651 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:37:24,652 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:37:29,653 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:37:34,654 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:39:28,565 | INFO | MainThread | Starting Edge Node
2026-09-04 20:39:28,566 | INFO | MainThread | Connecting MQTT...
2026-09-04 20:39:28,567 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:39:28,821 | INFO | MainThread | MQTT connected
2026-09-04 20:39:28,825 | INFO | ConfigWatcher | Reloading config...
2026-09-04 20:39:33,568 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:39:38,569 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:39:43,570 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:39:48,571 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:39:53,572 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:39:58,573 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:40:03,574 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:40:08,575 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:40:13,576 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:40:18,577 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:40:23,578 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:40:28,579 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:40:33,581 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:40:38,581 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:40:43,582 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:40:48,583 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:40:53,584 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:40:58,585 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:41:03,586 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:41:08,587 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:41:13,587 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:41:18,588 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:41:23,589 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:41:28,590 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:41:33,591 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:41:38,592 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:41:43,592 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:41:48,593 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:41:53,594 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:41:58,594 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:42:03,595 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:42:08,596 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:42:13,596 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:42:18,597 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:42:23,598 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:42:28,599 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:42:33,599 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:42:38,600 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:42:43,601 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:42:48,601 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:42:53,602 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:42:58,603 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:43:03,604 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:43:08,605 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:43:13,606 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:43:18,607 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:43:23,608 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:43:28,608 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:43:33,610 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:43:38,610 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:43:43,611 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:43:48,612 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:43:53,612 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:43:58,613 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:44:03,614 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:44:08,615 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:44:13,616 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:44:18,617 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:44:23,617 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:44:28,618 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:44:33,619 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:44:38,620 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:44:43,621 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:44:48,621 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:44:53,622 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:44:58,623 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:45:03,624 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:45:08,625 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:45:13,626 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:45:18,627 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:45:23,627 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:45:28,628 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:45:33,629 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:45:38,630 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:45:43,631 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:45:48,632 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:45:51,119 | INFO | MainThread | Starting Edge Node
2026-09-04 20:45:51,121 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:45:51,121 | INFO | MainThread | Connecting MQTT...
2026-09-04 20:45:51,326 | INFO | MainThread | MQTT connected
2026-09-04 20:45:51,333 | INFO | ConfigWatcher | Reloading config...
2026-09-04 20:45:53,632 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:45:56,122 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:45:58,633 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:46:01,123 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:46:03,634 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:46:06,124 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:46:08,635 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:46:11,125 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:46:13,636 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:46:16,125 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:46:18,637 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:46:21,126 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:46:23,638 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:46:26,127 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:46:28,639 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:46:31,128 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:46:33,640 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:46:36,129 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:46:38,641 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:46:41,130 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:46:43,642 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:46:46,131 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:46:48,643 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:46:51,132 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:46:53,644 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:46:56,133 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:46:58,645 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:47:01,134 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:47:03,646 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:47:06,135 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:47:08,647 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:47:11,136 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:47:13,648 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:47:16,136 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:47:18,649 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:47:21,137 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:47:23,649 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:47:26,138 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:47:28,650 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:47:31,139 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:47:33,650 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:47:36,139 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:47:38,651 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:47:41,140 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:47:43,652 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:47:46,141 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:47:48,653 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:47:51,142 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:47:53,654 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:47:56,143 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:47:58,654 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:48:01,144 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:48:03,655 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:48:06,145 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:48:08,656 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:48:11,146 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:48:13,657 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:48:16,147 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:48:18,657 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:48:21,148 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:48:23,658 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:48:26,149 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:48:28,659 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:48:31,150 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:48:33,660 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:48:36,151 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:48:38,661 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:48:41,152 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:48:43,661 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:48:46,153 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:48:48,662 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:48:51,154 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:48:53,663 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:48:56,155 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:48:58,664 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:49:01,156 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:49:03,665 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:49:06,157 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:49:08,665 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:49:11,158 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:49:13,666 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:49:16,159 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:49:18,667 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:49:21,160 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:49:23,668 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:49:26,161 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:49:28,669 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:49:31,162 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:49:33,670 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:49:36,163 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:49:38,671 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:49:41,164 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:49:43,672 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:49:46,165 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:49:48,673 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:49:51,166 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:49:53,674 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:49:56,167 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:49:58,674 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:50:01,168 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:50:03,675 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:50:06,170 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:50:08,676 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:50:11,171 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:50:13,677 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:50:16,172 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:50:18,677 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:50:21,172 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:50:23,679 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:50:26,173 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:50:28,680 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:50:31,175 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:50:33,681 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:50:36,176 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:50:38,682 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:50:41,177 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:50:43,683 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:50:46,178 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:50:48,683 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:50:51,179 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:50:53,684 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:50:56,180 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:50:58,685 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:51:01,181 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:51:03,686 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:51:06,182 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:51:08,687 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:51:11,183 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:51:13,688 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:51:16,184 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:51:18,689 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:51:21,186 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:51:23,690 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:51:26,186 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:51:28,691 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:51:31,187 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:51:33,692 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:51:36,188 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:51:38,693 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:51:41,189 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:51:43,694 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:51:46,190 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:51:48,695 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:51:51,191 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:51:53,696 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:51:56,191 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:51:58,697 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:52:01,192 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:52:03,698 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:52:06,194 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:52:08,699 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:52:11,195 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:52:13,700 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:52:16,196 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:52:18,700 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:52:21,197 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:52:23,701 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:52:26,198 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:52:28,702 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:52:31,199 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:52:33,703 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:52:36,200 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:52:38,704 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:52:41,201 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:52:43,705 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:52:46,202 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:52:48,706 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:52:51,203 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:52:53,706 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:52:56,204 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:52:58,707 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:53:01,205 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:53:03,708 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:53:06,206 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:53:08,709 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:53:11,207 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:53:13,710 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:53:16,208 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:53:18,711 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:53:21,209 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:53:23,712 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:53:26,210 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:53:28,713 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:53:31,210 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:53:33,714 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:53:36,211 | ERROR | ModbusConnect | Modbus connect error: Connection failed
2026-09-04 20:53:38,715 | ERROR | ModbusConnect | Modbus connect error: Connection failed
